timestamp,gpu_index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw
2026-08-18T20:27:39+00:00,0,98,9719,12282,71,159.04
2026-08-18T20:27:44+00:00,0,77,9719,12282,72,156.91
2026-08-18T20:27:49+00:00,0,86,7927,12282,70,145.00
2026-08-18T20:27:54+00:00,0,87,10565,12282,74,159.60
2026-08-18T20:27:59+00:00,0,88,10565,12282,72,160.68
2026-08-18T20:28:04+00:00,0,98,10565,12282,70,160.97
2026-08-18T20:28:09+00:00,0,84,10565,12282,74,157.97
2026-08-18T20:28:14+00:00,0,86,10565,12282,72,161.46
2026-08-18T20:28:19+00:00,0,0,2879,12282,59,87.92
2026-08-18T20:28:24+00:00,0,89,10743,12282,72,160.80
2026-08-18T20:28:29+00:00,0,98,10743,12282,70,160.12
2026-08-18T20:28:34+00:00,0,80,10743,12282,73,157.53
2026-08-18T20:28:39+00:00,0,86,10743,12282,72,159.99
2026-08-18T20:28:44+00:00,0,98,11255,12282,71,157.38
2026-08-18T20:28:49+00:00,0,80,7640,12282,64,123.90
2026-08-18T20:28:54+00:00,0,89,8890,12282,72,156.55
2026-08-18T20:28:59+00:00,0,81,10430,12282,69,160.36
2026-08-18T20:29:04+00:00,0,86,10432,12282,71,159.00
2026-08-18T20:29:10+00:00,0,88,10432,12282,70,158.46
2026-08-18T20:29:15+00:00,0,96,10432,12282,71,161.08
2026-08-18T20:29:20+00:00,0,88,4010,12282,73,157.82
2026-08-18T20:29:25+00:00,0,98,7760,12282,70,160.20
2026-08-18T20:29:30+00:00,0,77,9350,12282,68,160.74
2026-08-18T20:29:35+00:00,0,84,9350,12282,70,161.03
2026-08-18T20:29:40+00:00,0,80,10318,12282,73,158.27
2026-08-18T20:29:45+00:00,0,81,10318,12282,73,161.09
2026-08-18T20:29:50+00:00,0,98,11150,12282,74,163.21
2026-08-18T20:29:55+00:00,0,25,7514,12282,58,67.22
2026-08-18T20:30:00+00:00,0,87,11704,12282,69,157.90
2026-08-18T20:30:05+00:00,0,88,11704,12282,71,162.17
2026-08-18T20:30:10+00:00,0,89,11704,12282,71,161.86
2026-08-18T20:30:15+00:00,0,78,11704,12282,73,162.75
2026-08-18T20:30:20+00:00,0,88,11704,12282,72,160.96
2026-08-18T20:30:25+00:00,0,59,7834,12282,69,128.37
2026-08-18T20:30:31+00:00,0,79,9302,12282,71,158.70
2026-08-18T20:30:36+00:00,0,85,10350,12282,73,160.09
2026-08-18T20:30:41+00:00,0,89,10350,12282,74,160.04
2026-08-18T20:30:46+00:00,0,79,10350,12282,72,159.36
2026-08-18T20:30:51+00:00,0,95,10350,12282,73,163.43
2026-08-18T20:30:56+00:00,0,91,4720,12282,70,124.79
2026-08-18T20:31:01+00:00,0,85,9038,12282,70,156.77
2026-08-18T20:31:06+00:00,0,84,10428,12282,73,158.35
2026-08-18T20:31:11+00:00,0,78,10428,12282,71,158.86
2026-08-18T20:31:16+00:00,0,81,10944,12282,73,160.53
2026-08-18T20:31:21+00:00,0,91,10944,12282,70,161.92
2026-08-18T20:31:26+00:00,0,81,10944,12282,73,159.81
