timestamp,device_label,model,imgsz,format,device,threads,elapsed_s,window_idx,frames,fps_window,lat_p50_ms,lat_p95_ms,temp_c,freq_mhz,throttled_flags
2026-08-25T10:37:43+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,141.234,108,30,24.556,40.378,43.188,66.65,2400.0,
2026-08-25T10:37:44+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,142.558,109,30,22.702,40.28,49.741,66.1,2400.0,
2026-08-25T10:37:45+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,143.857,110,30,23.13,40.313,67.351,64.45,2400.0,
2026-08-25T10:37:47+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,145.096,111,30,24.256,40.188,43.04,66.65,2400.0,
2026-08-25T10:37:48+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,146.435,112,30,22.458,40.484,44.753,66.65,2400.0,
2026-08-25T10:37:49+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,147.665,113,30,24.427,40.694,42.857,66.65,2400.0,
2026-08-25T10:37:50+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,148.956,114,30,23.279,40.524,42.638,66.65,2400.0,
2026-08-25T10:37:52+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,150.329,115,30,21.889,41.091,53.083,66.65,2400.0,
2026-08-25T10:37:53+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,151.556,116,30,24.502,40.515,43.28,66.65,2400.0,
2026-08-25T10:37:54+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,152.91,117,30,22.251,40.395,50.918,66.1,2400.0,
2026-08-25T10:37:56+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,154.221,118,30,22.921,40.217,42.871,65.0,2400.0,
2026-08-25T10:37:57+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,155.47,119,30,24.073,40.256,50.359,67.2,2400.0,
2026-08-25T10:37:58+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,156.914,120,30,20.808,40.446,43.095,66.1,2400.0,
